Date,Stock_Return,Excess_Return,Mkt-RF,SMB,HML,RMW,CMA,Mom,RF
2024-05-02,0.02203188474645512,0.021831884746455123,0.0101,0.0072,-0.0003,-0.0002,-0.0079,0.0044,0.0002
2024-05-03,0.05981614644241273,0.05961614644241273,0.0118,-0.0005,-0.0019,0.0042,-0.0053,-0.0025,0.0002
2024-05-06,-0.009106869661387185,-0.009306869661387185,0.0108,-0.0002,-0.0006,-0.0025,-0.0069,0.0103,0.0002
2024-05-07,0.00379715931634661,0.00359715931634661,0.0005,0.0001,-0.006,0.0015,0.0024,-0.0016,0.0002
2024-05-08,0.0018642937886839128,0.0016642937886839127,-0.0009,-0.004,0.0058,0.006999999999999999,0.0015,-0.0005,0.0002
2024-05-09,0.010014182615567302,0.009814182615567301,0.0052,0.0052,0.0037,0.0004,0.0006,-0.0059,0.0002
2024-05-10,-0.006890122338867433,-0.007090122338867432,0.0009,-0.009000000000000001,0.0001,0.0054,-0.0006,0.0029,0.0002
2024-05-13,0.017645324772822102,0.017445324772822103,-0.0004,0.0026,-0.0026,0.0019,0.0024,-0.0115,0.0002
2024-05-14,0.0061736051915970425,0.005973605191597043,0.005600000000000001,0.0051,0.0002,-0.0016,-0.0003,-0.0028000000000000004,0.0002
2024-05-15,0.012218029973138034,0.012018029973138033,0.0115,-0.0046,-0.0022,-0.0043,-0.0038,0.0111,0.0002
2024-05-16,0.0006322623494956492,0.0004322623494956492,-0.0025,-0.0021,-0.0001,-0.0002,0.0038,-0.0101,0.0002
2024-05-17,0.00015798599742589126,-4.2014002574108754e-05,0.0011,-0.0022,0.004,-0.0017000000000000001,-0.0012,0.0033,0.0002
2024-05-20,0.006162184369986168,0.005962184369986168,0.0014000000000000002,0.0016,-0.0088,0.0016,-0.006500000000000001,0.0042,0.0002
2024-05-21,0.00685740383354716,0.00665740383354716,0.0016,-0.0043,0.0018,0.0039000000000000003,-0.0031,0.0013,0.0002
2024-05-22,-0.007538507396037231,-0.00773850739603723,-0.0034999999999999996,-0.004,-0.0037,-0.0044,-0.0005,-0.005699999999999999,0.0002
2024-05-23,-0.021057978534119726,-0.021257978534119724,-0.0084,-0.0069,-0.0064,0.0121,-0.0063,0.019299999999999998,0.0002
2024-05-24,0.01658791309562324,0.016387913095623242,0.0070999999999999995,0.0016,0.0015,0.0028000000000000004,-0.0039000000000000003,0.0026,0.0002
2024-05-28,5.27853602114714e-05,-0.0001472146397885286,-0.0004,0.0013,-0.0088,0.0008,-0.0111,0.005600000000000001,0.0002
2024-05-29,0.001579098943894408,0.001379098943894408,-0.0077,-0.0039000000000000003,-0.0062,0.005,-0.0002,0.0024,0.0002
2024-05-30,0.005254878697576348,0.005054878697576349,-0.0053,0.013600000000000001,0.01,0.0029,0.0106,-0.0048,0.0002
2024-05-31,0.005018841189157186,0.004818841189157186,0.0068000000000000005,-0.0001,0.0078000000000000005,0.0095,0.0078000000000000005,-0.006500000000000001,0.0002
2024-06-03,0.009258569284626317,0.009058569284626316,0.0005,-0.0031,-0.005699999999999999,0.0039000000000000003,-0.0044,-0.0019,0.0002
2024-06-04,0.0016493488346982499,0.0014493488346982498,-0.0006,-0.0128,-0.0076,-0.0022,-0.0012,-0.002,0.0002
2024-06-05,0.007820931934811481,0.007620931934811482,0.0123,0.0032,-0.0060999999999999995,-0.0044,-0.0068000000000000005,0.0115,0.0002
